id,titulo,popularidade,nota,votos,data_lancamento,descricao
1033462,749局,470.2154,5.571,35,2024-10-01,
1419406,A Sombra Do Perigo,449.5069,6.281,114,2025-08-16,A polícia de Macau remove o policial que é especialista em rastrear a aposentadoria para ajudar a capturar um grupo perigoso de ladrões profissionais.
1363123,Plano em Família 2,405.8007,6.791,187,2025-11-11,"Agora que os dias de assassino de Dan ficaram para trás, tudo o que ele quer no Natal é passar um tempo de qualidade com os filhos. Mas quando descobre que a filha tem seus próprios planos, ele marca uma viagem em família para Londres, colocando todos na mira de um inimigo inesperado."
1309012,Altered,326.3552,6.471,34,2025-09-18,"Num presente alternativo, humanos geneticamente aprimorados dominam a sociedade. Os párias Leon e Chloe lutam por justiça contra políticos corruptos que exploram a disparidade genética, arriscando tudo para desafiar o sistema opressor."
1084242,Zootopia 2,322.0511,7.548,62,2025-11-26,Os detetives Judy Hopps e Nick Wilde se encontram na trilha sinuosa de um réptil misterioso que chega a Zootopia e vira a metrópole dos mamíferos de cabeça para baixo.
1062722,Frankenstein,248.039,7.768,1888,2025-10-17,"Dr. Victor Frankenstein, um cientista brilhante, mas egoísta, dá vida a uma criatura em um experimento monstruoso que acaba levando à ruína tanto do criador quanto de sua trágica criação."
967941,Wicked: Parte II,225.8664,6.8,261,2025-11-19,"Elphaba, agora demonizada como a Bruxa Má do Oeste, vive no exílio, escondida na floresta de Oz, e tenta desesperadamente expor a verdade que conhece sobre o Mágico. Enquanto isso, Glinda se tornou o glamouroso símbolo da bondade para todo o reino de Oz e desfruta das vantagens da fama e da popularidade. Quando uma multidão enfurecida se ergue contra a Bruxa Má, Glinda e Elphaba vão precisar se unir uma última vez."
1054867,Uma Batalha Após a Outra,180.0008,7.5,1660,2025-09-23,"Bob, um revolucionário fracassado, vive chapado e em um estado de paranoia, sobrevivendo isolado com Willa, sua filha espirituosa e independente. Quando seu perverso arqui-inimigo ressurge após 16 anos e ela desaparece, o ex-radical corre para encontrá-la, pai e filha tendo que enfrentar as consequências do passado dele."
1116465,A Lenda: Em Busca do Medalhão Sagrado,179.7004,6.769,104,2024-07-05,"Um arqueólogo descobriu relíquias em uma geleira que se assemelhavam a um pingente de jade dos sonhos, o que levou ele e sua equipe a explorar as profundezas da geleira."
1426968,Ya no quedan junglas,170.7684,6.136,11,2025-09-26,
1208561,A Arte das Oito Armas,169.0676,6.019,27,2024-08-16,Um agente dos EUA se disfarça em um campo de treinamento de artes marciais suspeito de ser uma cobertura para armas químicas.
1242898,Predador: Terras Selvagens,168.9922,7.428,458,2025-11-05,"No futuro, em um planeta remoto, um jovem Predador, rejeitado por seu clã, encontra em Thia uma aliada improvável e embarca em uma jornada traiçoeira em busca do adversário supremo."
